SMILES,Supplier Ref,CLNUMBER,PLATE,Capan-2,SW1990,BxPC-3,HPAF-II,CFPAC-1,Panc10.05,AsPC-1,in_plate_selection,positives Capan-2,positives SW1990,positives BxPC-3,positives HPAF-II,positives CFPAC-1,positives Panc10.05,positives AsPC-1,# positives,positives any
CCc1ccc([C@@H]2C[C@H](c3ccc(C(C)C)cc3)n3ncnc3N2)cc1,6321-0259,CL0949,PLATE_001,8.9462,11.1083,3.6345,4.4557,7.1603,-5.6276,3.6756,1,0,0,0,0,0,0,0,0,0
COc1ccc(O)c(C2=Nc3ccccc3N=C(c3cccc(Br)c3)C2)c1,4019-0056,CL1432,PLATE_001,15.2798,-2.4688,5.9338,12.1127,15.0424,5.7611,8.7947,0,0,0,0,0,0,0,0,0,0
CC(C)(C)c1ccc2c(c1)CN(c1ccc(Cl)cc1)CO2,6718-0068,CL2850,PLATE_001,17.3521,8.6345,-2.622,3.3572,13.8137,-1.0179,10.735,0,0,0,0,0,0,0,0,0,0
COc1ccc(C2Oc3ccccc3C3=C2C(c2ccccc2)n2ncnc2N3)cc1,4033-0019,CL2655,PLATE_001,6.6904,-6.9476,0.238,0.6365,13.7688,2.336,-0.12854,1,0,0,0,0,0,0,0,0,0
CC(C)(C)c1ccc2c(c1)CN(c1ccc(F)cc1)CO2,6718-0069,CL2850,PLATE_001,17.5888,1.5975,-4.0482,1.2022,9.4467,-6.4555,8.1087,0,0,0,0,0,0,0,0,0,0
COc1cc(C2C3=C(CC(C)(C)CC3=O)Nc3[nH]c(=O)[nH]c(=O)c32)cc(OC)c1OC,4065-0089,CL1313,PLATE_001,15.2569,-8.3388,5.0693,4.903,-0.884,-3.579,-1.8493,1,0,0,0,0,0,0,0,0,0
CCOc1ccc2c(c1)CN(c1ccc(C)c(Cl)c1)CO2,6718-0093,CL2850,PLATE_001,6.5633,-3.2445,-1.621,7.9901,12.3344,-4.7898,2.5085,1,0,0,0,0,0,0,0,0,0
c1ccc(CSc2nnc3sc4ccccc4n23)cc1,4065-0152,CL2824,PLATE_001,8.4052,3.7389,0.4262,10.6664,21.5523,-0.9655,-2.8032,0,0,0,0,0,0,0,0,0,0
Cc1ccccc1-c1nnc2c3ccccc3c(-c3ccccc3)nn12,6725-3843,CL2896,PLATE_001,5.3749,5.5496,2.0726,1.0368,12.388,-9.3818,12.938,0,0,0,0,0,0,0,0,0,0
Cc1cc(C)n2c(SCCc3ccccc3)nnc2n1,4065-0394,CL2925,PLATE_001,-1.0546,3.7617,1.8341,-0.7449,3.8728,0.9632,3.5499,0,0,0,0,0,0,0,0,0,0
CCCCNS(=O)(=O)c1ccc(S(=O)(=O)N2CCN(CCC#N)CC2)cc1,6732-0158,CL1185,PLATE_001,-6.1666,9.4796,-1.5195,6.113,-1.7895,-11.0883,2.787,0,0,0,0,0,0,0,0,0,0
CCCCSc1nnc2sc3ccccc3n12,4065-0411,CL2824,PLATE_001,12.8166,7.2767,2.0483,-4.5341,18.8863,-2.5452,1.9576,0,0,0,0,0,0,0,0,0,0
CN(C1CCCCC1)S(=O)(=O)c1ccc(S(=O)(=O)N2CCN(CCC#N)CC2)cc1,6732-0162,CL1185,PLATE_001,8.9493,6.0209,-1.5764,-10.5718,10.1769,-7.233,-1.5614,0,0,0,0,0,0,0,0,0,0
CC(C)CSc1nnc2sc3ccccc3n12,4065-0446,CL2824,PLATE_001,-3.2989,4.2524,-0.8704,4.4422,16.455,-5.2761,-1.8128,0,0,0,0,0,0,0,0,0,0
